schedule_id,route_number,route_detail,first_bus,last_bus,trips_weekday,trips_saturday,trips_sunday,reference_date,source_document,source_page,source_url,notes
branch-yangdeok3-jukdo,양덕3,양덕-여남-칠포-죽도시장,06:10,17:25,3,3,3,2026-08-23,pohang_branch_yangdeok3.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,죽도시장까지 운행하는 행만 계수
branch-yeonil-inju,연일1,농협-터미널-자명1-인주,06:35,19:05,4,4,4,2026-08-23,pohang_branch_yeonil.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,인주·자명 경유 표의 정규 행 수
branch-ocheon1-oeosa,오천1,오천-오어사-오천,07:25,19:35,7,7,7,2026-08-23,pohang_branch_ocheon.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,오천-오어사 표의 행 수; 안항사 경유 표시는 별도 운행으로 추가하지 않음
branch-ocheon2-segye,오천2,오천-세계1리-오천,08:00,18:05,3,3,3,2026-08-23,pohang_branch_ocheon.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,오천-세계 표의 행 수
branch-yongheung-main,용흥,도심-용흥-터미널,06:00,23:05,27,27,27,2026-08-23,pohang_branch_yongheung_changpo.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,용흥1 왕복 표의 행 수
branch-changpo-main,창포,도심-창포,06:00,22:40,20,20,20,2026-08-23,pohang_branch_yongheung_changpo.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,창포1 왕복 표의 행 수
branch-cheongha1-heunghae,청하1,흥해-청하-흥해,06:50,18:50,10,10,10,2026-08-23,pohang_branch_cheongha_songra.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,흥해-청하 표에서 580번과 조건부 운행을 제외한 정규 행
branch-cheongha2-josa,청하2,청하-조사리-흥해,06:50,18:50,2,2,2,2026-08-23,pohang_branch_cheongha_songra.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,조사리 경유 정규 행만 계수
branch-cheongha3-sangsong,청하3,청하-상송-상대-하대-청계-청하,07:00,17:30,3,3,3,2026-08-23,pohang_branch_cheongha_songra.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,상송·청계 표의 행 수
branch-cheongha4-songra,청하4,청하-송라-청하,06:50,18:50,10,10,10,2026-08-23,pohang_branch_cheongha_songra.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,청하-송라 왕복 표의 정규 행 수
branch-cheongha5-pilhwa,청하5,청하-필화-초곡-죽도,07:00,19:00,6,6,6,2026-08-23,pohang_branch_cheongha_songra.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,필화·초곡 표의 행 수
branch-heunghae1-sinheung,흥해1,흥해-신흥-호암-고현1-흥해,07:20,19:10,5,5,5,2026-08-23,pohang_branch_heunghae.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,신흥·호암·고현 표의 행 수
branch-heunghae2-deokseong,흥해2,흥해-덕성리-양백1-용곡-흥해,06:50,18:30,6,6,6,2026-08-23,pohang_branch_heunghae.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,덕성·양백·용곡 표의 행 수
branch-heunghae3-jukdo,흥해3,흥해-교도소-예술고-죽도-흥해,07:15,18:35,7,7,7,2026-08-23,pohang_branch_heunghae.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,교도소·예술고·죽도 표의 행 수
